level,out
0,0.000
1,0.000
2,1.000
3,1.000
4,2.000
5,2.000
6,3.000
7,4.000
8,4.000
9,5.000
10,5.000
11,6.000
12,6.000
13,7.000
14,8.000
15,8.000
16,9.000
17,9.000
18,10.000
19,11.000
20,11.000
21,12.000
22,12.000
23,13.000
24,13.000
25,14.000
26,15.000
27,15.000
28,16.000
29,16.000
30,17.000
31,17.000
32,18.000
33,18.000
34,19.000
35,20.000
36,20.000
37,21.000
38,21.000
39,22.000
40,22.000
41,23.000
42,23.000
43,24.000
44,25.000
45,25.000
46,26.000
47,26.000
48,27.000
49,27.000
50,28.000
51,28.000
52,29.000
53,29.000
54,30.000
55,30.000
56,31.000
57,31.000
58,32.000
59,32.000
60,33.000
61,34.000
62,34.000
63,35.000
64,35.000
65,36.000
66,36.000
67,37.000
68,37.000
69,38.000
70,39.000
71,39.000
72,40.000
73,40.000
74,41.000
75,42.000
76,42.000
77,43.000
78,44.000
79,44.000
80,45.000
81,46.000
82,47.000
83,47.000
84,48.000
85,49.000
86,50.000
87,51.000
88,51.000
89,52.000
90,53.000
91,54.000
92,55.000
93,56.000
94,57.000
95,58.000
96,59.000
97,60.000
98,61.000
99,62.000
100,63.000
101,64.000
102,66.000
103,67.000
104,68.000
105,69.000
106,70.000
107,72.000
108,73.000
109,74.000
110,76.000
111,77.000
112,79.000
113,80.000
114,82.000
115,83.000
116,85.000
117,86.000
118,88.000
119,90.000
120,91.000
121,93.000
122,95.000
123,96.000
124,98.000
125,100.000
126,102.000
127,103.000
128,105.000
129,107.000
130,109.000
131,110.000
132,112.000
133,114.000
134,116.000
135,118.000
136,120.000
137,121.000
138,123.000
139,125.000
140,127.000
141,129.000
142,130.000
143,132.000
144,134.000
145,136.000
146,138.000
147,140.000
148,142.000
149,143.000
150,145.000
151,147.000
152,149.000
153,151.000
154,152.000
155,154.000
156,156.000
157,158.000
158,159.000
159,161.000
160,163.000
161,164.000
162,166.000
163,168.000
164,169.000
165,171.000
166,173.000
167,174.000
168,176.000
169,177.000
170,179.000
171,180.000
172,182.000
173,183.000
174,184.000
175,186.000
176,187.000
177,189.000
178,190.000
179,191.000
180,193.000
181,194.000
182,195.000
183,196.000
184,198.000
185,199.000
186,200.000
187,201.000
188,202.000
189,204.000
190,205.000
191,206.000
192,207.000
193,208.000
194,209.000
195,210.000
196,211.000
197,212.000
198,213.000
199,214.000
200,215.000
201,216.000
202,217.000
203,218.000
204,219.000
205,220.000
206,221.000
207,222.000
208,223.000
209,223.000
210,224.000
211,225.000
212,226.000
213,227.000
214,228.000
215,228.000
216,229.000
217,230.000
218,231.000
219,232.000
220,232.000
221,233.000
222,234.000
223,235.000
224,235.000
225,236.000
226,237.000
227,237.000
228,238.000
229,239.000
230,240.000
231,240.000
232,241.000
233,242.000
234,242.000
235,243.000
236,244.000
237,244.000
238,245.000
239,245.000
240,246.000
241,247.000
242,247.000
243,248.000
244,249.000
245,249.000
246,250.000
247,250.000
248,251.000
249,252.000
250,252.000
251,253.000
252,254.000
253,254.000
254,255.000
255,255.000
