level,out
0,0.000
1,0.000
2,0.000
3,0.000
4,0.000
5,0.000
6,0.000
7,0.000
8,0.000
9,0.000
10,0.000
11,0.000
12,0.000
13,0.000
14,0.000
15,0.000
16,0.000
17,0.000
18,0.000
19,0.000
20,0.000
21,0.000
22,0.000
23,0.000
24,0.000
25,0.000
26,0.000
27,0.000
28,0.000
29,0.000
30,0.000
31,0.000
32,0.000
33,0.000
34,0.000
35,1.000
36,2.000
37,3.000
38,5.000
39,6.000
40,7.000
41,8.000
42,9.000
43,10.000
44,11.000
45,12.000
46,14.000
47,15.000
48,16.000
49,17.000
50,18.000
51,19.000
52,20.000
53,22.000
54,23.000
55,24.000
56,25.000
57,26.000
58,27.000
59,29.000
60,30.000
61,31.000
62,32.000
63,33.000
64,35.000
65,36.000
66,37.000
67,38.000
68,39.000
69,41.000
70,42.000
71,43.000
72,44.000
73,45.000
74,47.000
75,48.000
76,49.000
77,51.000
78,52.000
79,53.000
80,54.000
81,56.000
82,57.000
83,58.000
84,60.000
85,61.000
86,62.000
87,64.000
88,65.000
89,66.000
90,68.000
91,69.000
92,70.000
93,72.000
94,73.000
95,74.000
96,76.000
97,77.000
98,78.000
99,80.000
100,81.000
101,83.000
102,84.000
103,85.000
104,87.000
105,88.000
106,89.000
107,91.000
108,92.000
109,94.000
110,95.000
111,96.000
112,98.000
113,99.000
114,101.000
115,102.000
116,103.000
117,105.000
118,106.000
119,108.000
120,109.000
121,110.000
122,112.000
123,113.000
124,115.000
125,116.000
126,117.000
127,119.000
128,120.000
129,121.000
130,123.000
131,124.000
132,126.000
133,127.000
134,128.000
135,130.000
136,131.000
137,132.000
138,134.000
139,135.000
140,136.000
141,138.000
142,139.000
143,140.000
144,142.000
145,143.000
146,144.000
147,146.000
148,147.000
149,148.000
150,150.000
151,151.000
152,152.000
153,154.000
154,155.000
155,156.000
156,158.000
157,159.000
158,160.000
159,161.000
160,163.000
161,164.000
162,165.000
163,166.000
164,168.000
165,169.000
166,170.000
167,171.000
168,172.000
169,174.000
170,175.000
171,176.000
172,177.000
173,178.000
174,179.000
175,181.000
176,182.000
177,183.000
178,184.000
179,185.000
180,186.000
181,187.000
182,188.000
183,189.000
184,191.000
185,192.000
186,193.000
187,194.000
188,195.000
189,196.000
190,197.000
191,198.000
192,199.000
193,200.000
194,201.000
195,202.000
196,203.000
197,204.000
198,205.000
199,206.000
200,207.000
201,208.000
202,209.000
203,210.000
204,211.000
205,212.000
206,213.000
207,214.000
208,215.000
209,216.000
210,216.000
211,217.000
212,218.000
213,219.000
214,220.000
215,221.000
216,222.000
217,223.000
218,224.000
219,225.000
220,226.000
221,226.000
222,227.000
223,228.000
224,229.000
225,230.000
226,231.000
227,232.000
228,233.000
229,233.000
230,234.000
231,235.000
232,236.000
233,237.000
234,238.000
235,239.000
236,239.000
237,240.000
238,241.000
239,242.000
240,243.000
241,244.000
242,245.000
243,245.000
244,246.000
245,247.000
246,248.000
247,249.000
248,250.000
249,250.000
250,251.000
251,252.000
252,253.000
253,254.000
254,255.000
255,255.000
