level,out
0,0.000
1,0.000
2,0.000
3,0.000
4,1.000
5,1.000
6,1.000
7,1.000
8,2.000
9,2.000
10,2.000
11,2.000
12,3.000
13,3.000
14,3.000
15,3.000
16,4.000
17,4.000
18,4.000
19,5.000
20,5.000
21,5.000
22,5.000
23,6.000
24,6.000
25,6.000
26,7.000
27,7.000
28,7.000
29,8.000
30,8.000
31,8.000
32,9.000
33,9.000
34,10.000
35,10.000
36,10.000
37,11.000
38,11.000
39,11.000
40,12.000
41,12.000
42,13.000
43,13.000
44,14.000
45,14.000
46,15.000
47,15.000
48,15.000
49,16.000
50,16.000
51,17.000
52,18.000
53,18.000
54,19.000
55,19.000
56,20.000
57,20.000
58,21.000
59,21.000
60,22.000
61,23.000
62,23.000
63,24.000
64,25.000
65,25.000
66,26.000
67,27.000
68,28.000
69,28.000
70,29.000
71,30.000
72,31.000
73,32.000
74,32.000
75,33.000
76,34.000
77,35.000
78,36.000
79,37.000
80,38.000
81,39.000
82,40.000
83,41.000
84,42.000
85,43.000
86,45.000
87,46.000
88,47.000
89,48.000
90,49.000
91,51.000
92,52.000
93,53.000
94,55.000
95,56.000
96,58.000
97,59.000
98,61.000
99,62.000
100,64.000
101,65.000
102,67.000
103,69.000
104,70.000
105,72.000
106,74.000
107,76.000
108,78.000
109,79.000
110,81.000
111,83.000
112,85.000
113,87.000
114,89.000
115,91.000
116,93.000
117,95.000
118,97.000
119,99.000
120,101.000
121,103.000
122,105.000
123,107.000
124,109.000
125,111.000
126,113.000
127,115.000
128,118.000
129,120.000
130,122.000
131,124.000
132,126.000
133,128.000
134,130.000
135,132.000
136,134.000
137,137.000
138,139.000
139,141.000
140,143.000
141,145.000
142,147.000
143,149.000
144,151.000
145,153.000
146,155.000
147,157.000
148,159.000
149,161.000
150,163.000
151,165.000
152,167.000
153,169.000
154,171.000
155,173.000
156,175.000
157,176.000
158,178.000
159,180.000
160,182.000
161,183.000
162,185.000
163,187.000
164,188.000
165,190.000
166,192.000
167,193.000
168,195.000
169,196.000
170,198.000
171,199.000
172,200.000
173,202.000
174,203.000
175,204.000
176,206.000
177,207.000
178,208.000
179,209.000
180,211.000
181,212.000
182,213.000
183,214.000
184,215.000
185,216.000
186,217.000
187,218.000
188,219.000
189,220.000
190,221.000
191,222.000
192,223.000
193,224.000
194,225.000
195,226.000
196,227.000
197,228.000
198,229.000
199,229.000
200,230.000
201,231.000
202,232.000
203,232.000
204,233.000
205,234.000
206,234.000
207,235.000
208,236.000
209,236.000
210,237.000
211,238.000
212,238.000
213,239.000
214,239.000
215,240.000
216,241.000
217,241.000
218,242.000
219,242.000
220,243.000
221,243.000
222,244.000
223,244.000
224,244.000
225,245.000
226,245.000
227,246.000
228,246.000
229,247.000
230,247.000
231,247.000
232,248.000
233,248.000
234,249.000
235,249.000
236,249.000
237,250.000
238,250.000
239,250.000
240,251.000
241,251.000
242,251.000
243,252.000
244,252.000
245,252.000
246,253.000
247,253.000
248,253.000
249,254.000
250,254.000
251,254.000
252,254.000
253,255.000
254,255.000
255,255.000
